ds,y
2017-01-01,1352.0
2017-02-01,1264.0
2017-03-01,1528.0
2017-04-01,7327.0
2017-05-01,8416.0
2017-06-01,2752.0
2017-07-01,1853.0
2017-08-01,796.0
2017-09-01,1071.0
2017-10-01,416.0
2017-11-01,1703.0
2017-12-01,2942.0
2018-01-01,1389.0
2018-02-01,820.0
2018-03-01,5729.0
2018-04-01,1487.0
2018-05-01,1896.0
2018-06-01,1293.0
2018-07-01,2473.0
2018-08-01,957.0
2018-09-01,6062.0
2018-10-01,2109.0
2018-11-01,2867.0
2018-12-01,1269.0
2019-01-01,2431.0
2019-02-01,856.0
2019-03-01,494.0
2019-04-01,718.0
2019-05-01,2463.0
2019-06-01,1189.0
2019-07-01,684.0
2019-08-01,4401.0
2019-09-01,564.0
2019-10-01,4017.0
2019-11-01,465.0
2019-12-01,943.0
2020-01-01,1812.0
2020-02-01,-398.0
2020-03-01,2388.0
2020-04-01,830.0
2020-05-01,265.0
2020-06-01,519.0
2020-07-01,2601.0
2020-08-01,1285.0
2020-09-01,2156.0
2020-10-01,263.0
2020-11-01,1037.0
2020-12-01,2872.0
