ds,y
2017-01-01,960.0
2017-02-01,6774.0
2017-03-01,1130.0
2017-04-01,207.0
2017-05-01,1253.0
2017-06-01,601.0
2017-07-01,993.0
2017-08-01,365.0
2017-09-01,7975.0
2017-10-01,753.0
2017-11-01,2325.0
2017-12-01,1084.0
2018-01-01,2527.0
2018-02-01,8065.0
2018-03-01,5181.0
2018-04-01,2742.0
2018-05-01,1058.0
2018-06-01,2464.0
2018-07-01,4546.0
2018-08-01,2255.0
2018-09-01,2754.0
2018-10-01,2925.0
2018-11-01,803.0
2018-12-01,6950.0
2019-01-01,231.0
2019-02-01,8907.0
2019-03-01,3689.0
2019-04-01,206.0
2019-05-01,2628.0
2019-06-01,3289.0
2019-07-01,401.0
2019-08-01,1596.0
2019-09-01,1780.0
2019-10-01,4985.0
2019-11-01,1714.0
2019-12-01,468.0
2020-01-01,1612.0
2020-02-01,1049.0
2020-03-01,544.0
2020-04-01,2047.0
2020-05-01,1632.0
2020-06-01,-395.0
2020-07-01,2201.0
2020-08-01,990.0
2020-09-01,1085.0
2020-10-01,4004.0
2020-11-01,2279.0
2020-12-01,4479.0
