ds,y
2017-01-01,2641.0
2017-02-01,2027.0
2017-03-01,3299.0
2017-04-01,5503.0
2017-05-01,3176.0
2017-06-01,2461.0
2017-07-01,4745.0
2017-08-01,1321.0
2017-09-01,1303.0
2017-10-01,3038.0
2017-11-01,1476.0
2017-12-01,854.0
2018-01-01,1426.0
2018-02-01,1972.0
2018-03-01,3767.0
2018-04-01,1281.0
2018-05-01,8669.0
2018-06-01,20277.0
2018-07-01,1417.0
2018-08-01,2256.0
2018-09-01,1833.0
2018-10-01,4137.0
2018-11-01,1401.0
2018-12-01,1208.0
2019-01-01,454.0
2019-02-01,1022.0
2019-03-01,1369.0
2019-04-01,1654.0
2019-05-01,3522.0
2019-06-01,3117.0
2019-07-01,1360.0
2019-08-01,1851.0
2019-09-01,702.0
2019-10-01,1086.0
2019-11-01,924.0
2019-12-01,285.0
2020-01-01,1510.0
2020-02-01,2219.0
2020-03-01,1712.0
2020-04-01,991.0
2020-05-01,2487.0
2020-06-01,2482.0
2020-07-01,525.0
2020-08-01,1502.0
2020-09-01,498.0
2020-10-01,529.0
2020-11-01,1061.0
2020-12-01,3802.0
