ds,y
2017-01-01,12673.0
2017-02-01,3033.0
2017-03-01,911.0
2017-04-01,2075.0
2017-05-01,2257.0
2017-06-01,1119.0
2017-07-01,2632.0
2017-08-01,1226.0
2017-09-01,4277.0
2017-10-01,1670.0
2017-11-01,1378.0
2017-12-01,917.0
2018-01-01,1763.0
2018-02-01,4909.0
2018-03-01,19229.0
2018-04-01,722.0
2018-05-01,1136.0
2018-06-01,1464.0
2018-07-01,2665.0
2018-08-01,745.0
2018-09-01,4094.0
2018-10-01,6627.0
2018-11-01,3626.0
2018-12-01,2634.0
2019-01-01,120.0
2019-02-01,2790.0
2019-03-01,5167.0
2019-04-01,1800.0
2019-05-01,366.0
2019-06-01,3043.0
2019-07-01,1423.0
2019-08-01,1199.0
2019-09-01,526.0
2019-10-01,2062.0
2019-11-01,649.0
2019-12-01,451.0
2020-01-01,3053.0
2020-02-01,2664.0
2020-03-01,1710.0
2020-04-01,1800.0
2020-05-01,1205.0
2020-06-01,1503.0
2020-07-01,2681.0
2020-08-01,1951.0
2020-09-01,2840.0
2020-10-01,339.0
2020-11-01,1282.0
2020-12-01,-291.0
