ds,y
2017-01-01,539.0
2017-02-01,4307.0
2017-03-01,345.0
2017-04-01,5556.0
2017-05-01,2475.0
2017-06-01,7088.0
2017-07-01,1345.0
2017-08-01,1753.0
2017-09-01,3539.0
2017-10-01,5136.0
2017-11-01,1809.0
2017-12-01,725.0
2018-01-01,6442.0
2018-02-01,2376.0
2018-03-01,1581.0
2018-04-01,2240.0
2018-05-01,5412.0
2018-06-01,5217.0
2018-07-01,1580.0
2018-08-01,12323.0
2018-09-01,727.0
2018-10-01,2359.0
2018-11-01,1706.0
2018-12-01,1452.0
2019-01-01,3181.0
2019-02-01,3392.0
2019-03-01,1276.0
2019-04-01,3266.0
2019-05-01,1475.0
2019-06-01,214.0
2019-07-01,483.0
2019-08-01,3273.0
2019-09-01,2133.0
2019-10-01,2310.0
2019-11-01,2499.0
2019-12-01,2974.0
2020-01-01,709.0
2020-02-01,894.0
2020-03-01,4418.0
2020-04-01,827.0
2020-05-01,1553.0
2020-06-01,440.0
2020-07-01,2975.0
2020-08-01,1034.0
2020-09-01,1317.0
2020-10-01,597.0
2020-11-01,1885.0
2020-12-01,1562.0
