ds,y
2017-01-01,1165.0
2017-02-01,1950.0
2017-03-01,2318.0
2017-04-01,2153.0
2017-05-01,1598.0
2017-06-01,3674.0
2017-07-01,1487.0
2017-08-01,3029.0
2017-09-01,2127.0
2017-10-01,682.0
2017-11-01,2821.0
2017-12-01,2300.0
2018-01-01,1891.0
2018-02-01,1023.0
2018-03-01,1013.0
2018-04-01,3852.0
2018-05-01,726.0
2018-06-01,4622.0
2018-07-01,3792.0
2018-08-01,941.0
2018-09-01,661.0
2018-10-01,2123.0
2018-11-01,1615.0
2018-12-01,2653.0
2019-01-01,503.0
2019-02-01,9020.0
2019-03-01,608.0
2019-04-01,2672.0
2019-05-01,1196.0
2019-06-01,2583.0
2019-07-01,774.0
2019-08-01,3091.0
2019-09-01,10990.0
2019-10-01,756.0
2019-11-01,1724.0
2019-12-01,398.0
2020-01-01,2111.0
2020-02-01,529.0
2020-03-01,3874.0
2020-04-01,842.0
2020-05-01,4009.0
2020-06-01,3067.0
2020-07-01,1050.0
2020-08-01,783.0
2020-09-01,2106.0
2020-10-01,1262.0
2020-11-01,3553.0
2020-12-01,1537.0
