ds,y
2017-01-01,2219.0
2017-02-01,3469.0
2017-03-01,2083.0
2017-04-01,3058.0
2017-05-01,654.0
2017-06-01,1641.0
2017-07-01,1662.0
2017-08-01,2425.0
2017-09-01,2267.0
2017-10-01,4713.0
2017-11-01,1057.0
2017-12-01,1876.0
2018-01-01,1298.0
2018-02-01,5253.0
2018-03-01,2230.0
2018-04-01,1610.0
2018-05-01,428.0
2018-06-01,5850.0
2018-07-01,13341.0
2018-08-01,611.0
2018-09-01,4468.0
2018-10-01,2661.0
2018-11-01,1729.0
2018-12-01,1208.0
2019-01-01,407.0
2019-02-01,1915.0
2019-03-01,4186.0
2019-04-01,925.0
2019-05-01,1958.96166134185
2019-06-01,2222.0
2019-07-01,1699.0
2019-08-01,1872.0
2019-09-01,5785.0
2019-10-01,1071.0
2019-11-01,1533.0
2019-12-01,164.0
2020-01-01,2068.0
2020-02-01,1239.0
2020-03-01,692.0
2020-04-01,722.0
2020-05-01,352.0
2020-06-01,1132.0
2020-07-01,9807.0
2020-08-01,2038.0
2020-09-01,3152.0
2020-10-01,1764.0
2020-11-01,2020.0
2020-12-01,1014.0
