ds,y
2017-01-01,1954.0
2017-02-01,2687.0
2017-03-01,3165.0
2017-04-01,518.0
2017-05-01,863.0
2017-06-01,1930.0
2017-07-01,3055.0
2017-08-01,814.0
2017-09-01,1938.0
2017-10-01,2133.0
2017-11-01,4240.0
2017-12-01,1634.0
2018-01-01,10926.0
2018-02-01,2071.0
2018-03-01,3766.0
2018-04-01,1999.0
2018-05-01,680.0
2018-06-01,5590.0
2018-07-01,4354.0
2018-08-01,4221.0
2018-09-01,2053.0
2018-10-01,1694.0
2018-11-01,1115.0
2018-12-01,2250.0
2019-01-01,498.0
2019-02-01,1021.0
2019-03-01,1060.0
2019-04-01,6605.0
2019-05-01,1698.0
2019-06-01,1375.0
2019-07-01,1089.0
2019-08-01,2919.0
2019-09-01,2599.0
2019-10-01,643.0
2019-11-01,-1662.0
2019-12-01,990.0
2020-01-01,2115.0
2020-02-01,3233.0
2020-03-01,3285.0
2020-04-01,1603.0
2020-05-01,1161.0
2020-06-01,2519.0
2020-07-01,5901.0
2020-08-01,390.0
2020-09-01,1851.0
2020-10-01,731.0
2020-11-01,2117.0
2020-12-01,798.0
