ds,y
2017-01-01,812.0
2017-02-01,4856.0
2017-03-01,2808.0
2017-04-01,1221.0
2017-05-01,1632.0
2017-06-01,9113.0
2017-07-01,1977.0
2017-08-01,2417.0
2017-09-01,2971.0
2017-10-01,5283.0
2017-11-01,1875.0
2017-12-01,3347.0
2018-01-01,3766.0
2018-02-01,691.0
2018-03-01,3237.0
2018-04-01,1348.0
2018-05-01,3542.0
2018-06-01,1789.0
2018-07-01,1018.0
2018-08-01,1011.0
2018-09-01,912.0
2018-10-01,9837.0
2018-11-01,1834.0
2018-12-01,1975.0
2019-01-01,580.0
2019-02-01,3004.0
2019-03-01,785.0
2019-04-01,535.0
2019-05-01,1097.0
2019-06-01,1246.0
2019-07-01,982.0
2019-08-01,5630.0
2019-09-01,1684.0
2019-10-01,627.0
2019-11-01,977.0
2019-12-01,3868.0
2020-01-01,1004.0
2020-02-01,1762.0
2020-03-01,1821.0
2020-04-01,176.0
2020-05-01,2442.0
2020-06-01,1465.0
2020-07-01,5594.0
2020-08-01,6006.0
2020-09-01,1116.0
2020-10-01,593.0
2020-11-01,3202.0
2020-12-01,1487.0
