ds,y
2017-01-01,507.0
2017-02-01,7240.0
2017-03-01,4736.0
2017-04-01,922.0
2017-05-01,7472.0
2017-06-01,2087.0
2017-07-01,2535.0
2017-08-01,2132.0
2017-09-01,3902.0
2017-10-01,2183.0
2017-11-01,1299.0
2017-12-01,9269.0
2018-01-01,1542.0
2018-02-01,1739.0
2018-03-01,1355.0
2018-04-01,1835.0
2018-05-01,2136.0
2018-06-01,1977.0
2018-07-01,6220.0
2018-08-01,2201.0
2018-09-01,2375.0
2018-10-01,2144.0
2018-11-01,1819.0
2018-12-01,864.0
2019-01-01,1976.0
2019-02-01,945.0
2019-03-01,572.0
2019-04-01,1654.0
2019-05-01,198.0
2019-06-01,1091.0
2019-07-01,1104.0
2019-08-01,426.0
2019-09-01,3360.0
2019-10-01,968.0
2019-11-01,9069.0
2019-12-01,1208.0
2020-01-01,2936.0
2020-02-01,2558.0
2020-03-01,1520.0
2020-04-01,6081.0
2020-05-01,821.0
2020-06-01,690.0
2020-07-01,1078.0
2020-08-01,591.0
2020-09-01,1901.0
2020-10-01,647.0
2020-11-01,2686.0
2020-12-01,928.0
