ds,y
2017-01-01,1760.0
2017-02-01,1873.0
2017-03-01,2060.0
2017-04-01,2585.0
2017-05-01,1140.0
2017-06-01,2698.0
2017-07-01,5549.0
2017-08-01,2916.0
2017-09-01,1572.0
2017-10-01,772.0
2017-11-01,2742.0
2017-12-01,3821.0
2018-01-01,767.0
2018-02-01,2307.0
2018-03-01,6500.0
2018-04-01,1916.0
2018-05-01,1438.0
2018-06-01,1419.0
2018-07-01,12674.0
2018-08-01,319.0
2018-09-01,2392.0
2018-10-01,2622.0
2018-11-01,1438.0
2018-12-01,2027.0
2019-01-01,810.0
2019-02-01,1544.0
2019-03-01,3539.0
2019-04-01,3141.0
2019-05-01,1839.0
2019-06-01,277.0
2019-07-01,1150.0
2019-08-01,1568.0
2019-09-01,2493.0
2019-10-01,1110.0
2019-11-01,4386.0
2019-12-01,3491.0
2020-01-01,1563.0
2020-02-01,3633.0
2020-03-01,1360.0
2020-04-01,657.0
2020-05-01,2871.0
2020-06-01,1381.0
2020-07-01,1017.0
2020-08-01,1529.0
2020-09-01,3366.0
2020-10-01,3239.0
2020-11-01,586.0
2020-12-01,3934.0
