ds,y
2017-01-01,2750.0
2017-02-01,738.0
2017-03-01,903.0
2017-04-01,1574.0
2017-05-01,1333.0
2017-06-01,1682.0
2017-07-01,628.0
2017-08-01,3581.0
2017-09-01,1160.0
2017-10-01,2275.0
2017-11-01,1143.0
2017-12-01,820.0
2018-01-01,2046.0
2018-02-01,4458.0
2018-03-01,2730.0
2018-04-01,2354.0
2018-05-01,1284.0
2018-06-01,1059.0
2018-07-01,1445.0
2018-08-01,1411.0
2018-09-01,838.0
2018-10-01,2023.0
2018-11-01,2310.0
2018-12-01,2214.0
2019-01-01,923.0
2019-02-01,3141.0
2019-03-01,2058.0
2019-04-01,810.0
2019-05-01,1129.0
2019-06-01,4016.0
2019-07-01,2494.0
2019-08-01,2716.0
2019-09-01,944.0
2019-10-01,1452.0
2019-11-01,4651.0
2019-12-01,1078.0
2020-01-01,830.0
2020-02-01,1037.0
2020-03-01,3925.0
2020-04-01,2155.0
2020-05-01,4044.0
2020-06-01,915.0
2020-07-01,927.0
2020-08-01,1684.0
2020-09-01,2369.0
2020-10-01,5285.0
2020-11-01,1581.0
2020-12-01,4677.0
