ds,y
2017-01-01,1948.0
2017-02-01,1491.0
2017-03-01,3662.0
2017-04-01,623.0
2017-05-01,5484.0
2017-06-01,2808.0
2017-07-01,719.0
2017-08-01,1529.0
2017-09-01,3662.0
2017-10-01,1677.0
2017-11-01,2460.0
2017-12-01,1412.0
2018-01-01,5994.0
2018-02-01,2216.0
2018-03-01,757.0
2018-04-01,2788.0
2018-05-01,3032.0
2018-06-01,4224.0
2018-07-01,957.0
2018-08-01,1051.0
2018-09-01,18898.0
2018-10-01,3660.0
2018-11-01,3130.0
2018-12-01,3816.0
2019-01-01,1032.0
2019-02-01,4150.0
2019-03-01,1759.0
2019-04-01,3163.0
2019-05-01,592.0
2019-06-01,2491.0
2019-07-01,1859.0
2019-08-01,2202.0
2019-09-01,566.0
2019-10-01,280.0
2019-11-01,2731.0
2019-12-01,2518.0
2020-01-01,599.0
2020-02-01,924.0
2020-03-01,477.0
2020-04-01,424.0
2020-05-01,1893.0
2020-06-01,2350.0
2020-07-01,2522.0
2020-08-01,2617.0
2020-09-01,507.0
2020-10-01,676.0
2020-11-01,1839.0
2020-12-01,6172.0
