ds,y
2017-01-01,983.0
2017-02-01,526.0
2017-03-01,4648.0
2017-04-01,1968.0
2017-05-01,686.0
2017-06-01,567.0
2017-07-01,5337.0
2017-08-01,6357.0
2017-09-01,385.0
2017-10-01,1278.0
2017-11-01,3607.0
2017-12-01,1557.0
2018-01-01,4393.0
2018-02-01,2159.0
2018-03-01,4667.0
2018-04-01,1612.0
2018-05-01,1478.0
2018-06-01,1436.0
2018-07-01,6425.0
2018-08-01,4502.0
2018-09-01,1960.0
2018-10-01,2705.0
2018-11-01,1719.0
2018-12-01,1608.0
2019-01-01,452.0
2019-02-01,2429.0
2019-03-01,2994.0
2019-04-01,3253.0
2019-05-01,2068.0
2019-06-01,5415.0
2019-07-01,1007.0
2019-08-01,1764.0
2019-09-01,478.0
2019-10-01,3984.0
2019-11-01,1202.0
2019-12-01,4400.0
2020-01-01,710.0
2020-02-01,592.0
2020-03-01,629.0
2020-04-01,327.0
2020-05-01,1636.0
2020-06-01,1916.0
2020-07-01,415.0
2020-08-01,1781.0
2020-09-01,-318.0
2020-10-01,442.0
2020-11-01,357.0
2020-12-01,6035.0
