ds,y
2017-01-01,8080.0
2017-02-01,2969.0
2017-03-01,1834.0
2017-04-01,888.0
2017-05-01,477.0
2017-06-01,1078.0
2017-07-01,1779.0
2017-08-01,3797.0
2017-09-01,827.0
2017-10-01,1085.0
2017-11-01,1579.0
2017-12-01,3904.0
2018-01-01,943.0
2018-02-01,3025.0
2018-03-01,4797.0
2018-04-01,3326.0
2018-05-01,1885.0
2018-06-01,3304.0
2018-07-01,3369.0
2018-08-01,2080.0
2018-09-01,1240.0
2018-10-01,2720.0
2018-11-01,3423.0
2018-12-01,1154.0
2019-01-01,284.0
2019-02-01,2122.0
2019-03-01,905.0
2019-04-01,609.0
2019-05-01,562.0
2019-06-01,3518.0
2019-07-01,2118.0
2019-08-01,2377.0
2019-09-01,521.0
2019-10-01,1749.0
2019-11-01,2409.0
2019-12-01,1930.0
2020-01-01,848.0
2020-02-01,1196.0
2020-03-01,991.0
2020-04-01,221.0
2020-05-01,2330.0
2020-06-01,1833.0
2020-07-01,2509.0
2020-08-01,270.0
2020-09-01,2566.0
2020-10-01,655.0
2020-11-01,968.0
2020-12-01,1496.0
