ds,y
2017-01-01,1724.0
2017-02-01,717.0
2017-03-01,2670.0
2017-04-01,1463.0
2017-05-01,1013.0
2017-06-01,2520.0
2017-07-01,2564.0
2017-08-01,1525.0
2017-09-01,1846.0
2017-10-01,5085.0
2017-11-01,342.0
2017-12-01,1889.0
2018-01-01,1313.0
2018-02-01,2874.0
2018-03-01,2804.0
2018-04-01,834.0
2018-05-01,1122.0
2018-06-01,2297.0
2018-07-01,1154.0
2018-08-01,1009.0
2018-09-01,2597.0
2018-10-01,5384.0
2018-11-01,16121.0
2018-12-01,752.0
2019-01-01,1721.0
2019-02-01,1602.0
2019-03-01,532.0
2019-04-01,2864.0
2019-05-01,1926.0
2019-06-01,2294.0
2019-07-01,4080.0
2019-08-01,2848.0
2019-09-01,6937.0
2019-10-01,826.0
2019-11-01,2803.0
2019-12-01,3651.0
2020-01-01,777.0
2020-02-01,640.0
2020-03-01,2999.0
2020-04-01,1658.0
2020-05-01,1394.0
2020-06-01,2935.0
2020-07-01,812.0
2020-08-01,2247.0
2020-09-01,2400.0
2020-10-01,453.0
2020-11-01,2232.0
2020-12-01,2642.0
