ds,y
2017-01-01,343.0
2017-02-01,1197.0
2017-03-01,1927.0
2017-04-01,487.0
2017-05-01,4411.0
2017-06-01,1118.0
2017-07-01,1900.0
2017-08-01,1128.0
2017-09-01,3339.0
2017-10-01,1022.0
2017-11-01,1667.0
2017-12-01,1236.0
2018-01-01,4548.0
2018-02-01,1774.0
2018-03-01,1706.0
2018-04-01,2410.0
2018-05-01,1686.0
2018-06-01,5846.0
2018-07-01,2327.0
2018-08-01,520.0
2018-09-01,2694.0
2018-10-01,2394.0
2018-11-01,2083.0
2018-12-01,1148.0
2019-01-01,77.0
2019-02-01,748.0
2019-03-01,2272.0
2019-04-01,1019.0
2019-05-01,510.0
2019-06-01,2010.0
2019-07-01,7203.0
2019-08-01,3323.0
2019-09-01,1211.0
2019-10-01,1451.0
2019-11-01,3642.0
2019-12-01,1620.0
2020-01-01,1178.0
2020-02-01,354.0
2020-03-01,1014.0
2020-04-01,1147.0
2020-05-01,817.0
2020-06-01,871.0
2020-07-01,2030.0
2020-08-01,1918.0
2020-09-01,2077.0
2020-10-01,392.0
2020-11-01,-16.0
2020-12-01,2357.0
