ds,y
2017-01-01,666.0
2017-02-01,6158.0
2017-03-01,2735.0
2017-04-01,1029.0
2017-05-01,1930.0
2017-06-01,1787.0
2017-07-01,2493.0
2017-08-01,2667.0
2017-09-01,1951.0
2017-10-01,611.0
2017-11-01,2563.0
2017-12-01,1254.0
2018-01-01,2241.0
2018-02-01,1038.6
2018-03-01,4044.0
2018-04-01,1569.0
2018-05-01,1889.0
2018-06-01,1646.0
2018-07-01,2760.0
2018-08-01,1767.0
2018-09-01,484.0
2018-10-01,2828.0
2018-11-01,1293.0
2018-12-01,465.0
2019-01-01,792.0
2019-02-01,3828.0
2019-03-01,654.0
2019-04-01,1708.0
2019-05-01,3268.0
2019-06-01,2166.0
2019-07-01,2419.0
2019-08-01,1950.0
2019-09-01,3319.0
2019-10-01,2338.0
2019-11-01,6080.0
2019-12-01,5504.0
2020-01-01,1517.0
2020-02-01,1595.0
2020-03-01,6717.0
2020-04-01,1574.0
2020-05-01,3868.0
2020-06-01,3150.0
2020-07-01,5133.0
2020-08-01,2514.0
2020-09-01,1410.0
2020-10-01,1021.0
2020-11-01,6977.0
2020-12-01,2735.0
