ds,y
2017-01-01,1375.0
2017-02-01,2023.0
2017-03-01,7440.0
2017-04-01,751.0
2017-05-01,789.0
2017-06-01,2451.0
2017-07-01,1764.0
2017-08-01,1523.0
2017-09-01,1340.0
2017-10-01,1920.0
2017-11-01,3663.0
2017-12-01,560.0
2018-01-01,3543.0
2018-02-01,1777.0
2018-03-01,13979.0
2018-04-01,808.0
2018-05-01,1758.0
2018-06-01,1096.0
2018-07-01,3356.0
2018-08-01,1356.0
2018-09-01,4228.0
2018-10-01,2093.0
2018-11-01,5123.0
2018-12-01,1579.0
2019-01-01,1075.0
2019-02-01,354.0
2019-03-01,2205.0
2019-04-01,638.0
2019-05-01,5934.465587044534
2019-06-01,2072.0
2019-07-01,1145.0
2019-08-01,1978.0
2019-09-01,4795.0
2019-10-01,2038.0
2019-11-01,414.0
2019-12-01,6484.0
2020-01-01,332.0
2020-02-01,521.0
2020-03-01,1315.0
2020-04-01,1572.0
2020-05-01,630.0
2020-06-01,2432.0
2020-07-01,31695.0
2020-08-01,278.0
2020-09-01,1067.0
2020-10-01,560.0
2020-11-01,3913.0
2020-12-01,742.0
