ds,y
2017-01-01,2605.0
2017-02-01,1489.0
2017-03-01,2431.0
2017-04-01,1158.0
2017-05-01,1889.0
2017-06-01,449.0
2017-07-01,1047.0
2017-08-01,1828.0
2017-09-01,1692.0
2017-10-01,2036.0
2017-11-01,1642.0
2017-12-01,1483.0
2018-01-01,4253.0
2018-02-01,1850.0
2018-03-01,1323.0
2018-04-01,13579.0
2018-05-01,1870.0
2018-06-01,3065.0
2018-07-01,2867.0
2018-08-01,1818.0
2018-09-01,27259.0
2018-10-01,1681.0
2018-11-01,5767.0
2018-12-01,1053.0
2019-01-01,1762.0
2019-02-01,3880.0
2019-03-01,6884.0
2019-04-01,1366.0
2019-05-01,1032.0
2019-06-01,4319.0
2019-07-01,1372.0
2019-08-01,2118.0
2019-09-01,31797.0
2019-10-01,1516.0
2019-11-01,2442.0
2019-12-01,81.0
2020-01-01,3312.0
2020-02-01,2201.0
2020-03-01,1302.0
2020-04-01,2515.0
2020-05-01,773.0
2020-06-01,2586.0
2020-07-01,1623.0
2020-08-01,4078.0
2020-09-01,2718.0
2020-10-01,3615.0
2020-11-01,1734.0
2020-12-01,2330.0
