ds,y
2017-01-01,5776.0
2017-02-01,1925.0
2017-03-01,1369.0
2017-04-01,1030.0
2017-05-01,1428.0
2017-06-01,3205.0
2017-07-01,2152.0
2017-08-01,1460.0
2017-09-01,2907.0
2017-10-01,5138.0
2017-11-01,1609.0
2017-12-01,2370.0
2018-01-01,1393.0
2018-02-01,1813.0
2018-03-01,4815.0
2018-04-01,2131.0
2018-05-01,1848.0
2018-06-01,2058.0
2018-07-01,1029.0
2018-08-01,824.0
2018-09-01,723.0
2018-10-01,4260.0
2018-11-01,908.0
2018-12-01,714.0
2019-01-01,709.0
2019-02-01,521.0
2019-03-01,1890.0
2019-04-01,9974.0
2019-05-01,309.0
2019-06-01,1734.0
2019-07-01,533.0
2019-08-01,-6336.0
2019-09-01,3158.0
2019-10-01,2102.0
2019-11-01,1071.0
2019-12-01,590.0
2020-01-01,366.0
2020-02-01,955.0
2020-03-01,1152.0
2020-04-01,1222.0
2020-05-01,335.0
2020-06-01,552.0
2020-07-01,3876.0
2020-08-01,719.0
2020-09-01,1286.0
2020-10-01,445.0
2020-11-01,2426.0
2020-12-01,3622.0
