ds,y
2017-01-01,678.0
2017-02-01,1355.0
2017-03-01,2691.0
2017-04-01,1313.0
2017-05-01,1461.0
2017-06-01,10946.0
2017-07-01,7694.0
2017-08-01,1639.0
2017-09-01,605.0
2017-10-01,886.0
2017-11-01,705.0
2017-12-01,425.0
2018-01-01,5155.0
2018-02-01,1304.0
2018-03-01,2512.0
2018-04-01,3716.0
2018-05-01,2425.0
2018-06-01,1046.0
2018-07-01,7713.0
2018-08-01,1909.0
2018-09-01,1931.0
2018-10-01,4137.0
2018-11-01,3040.0
2018-12-01,866.0
2019-01-01,604.0
2019-02-01,1718.0
2019-03-01,1118.0
2019-04-01,949.0
2019-05-01,987.0
2019-06-01,2126.0
2019-07-01,573.0
2019-08-01,2211.0
2019-09-01,1516.0
2019-10-01,703.0
2019-11-01,3990.0
2019-12-01,1332.0
2020-01-01,1854.0
2020-02-01,459.0
2020-03-01,1247.0
2020-04-01,2055.0
2020-05-01,358.0
2020-06-01,1053.0
2020-07-01,1455.0
2020-08-01,2352.0
2020-09-01,654.0
2020-10-01,1878.0
2020-11-01,12966.0
2020-12-01,699.0
