ds,y
2017-01-01,2366.0
2017-02-01,650.0
2017-03-01,4941.0
2017-04-01,481.0
2017-05-01,2673.0
2017-06-01,4172.0
2017-07-01,6322.0
2017-08-01,1055.0
2017-09-01,1585.0
2017-10-01,7426.0
2017-11-01,985.0
2017-12-01,13024.0
2018-01-01,588.0
2018-02-01,2751.0
2018-03-01,2825.0
2018-04-01,768.0
2018-05-01,11315.0
2018-06-01,2084.0
2018-07-01,3478.0
2018-08-01,1143.0
2018-09-01,1781.0
2018-10-01,2510.0
2018-11-01,1242.0
2018-12-01,1099.0
2019-01-01,223.0
2019-02-01,2166.0
2019-03-01,3573.0
2019-04-01,2519.0
2019-05-01,1727.0
2019-06-01,1244.0
2019-07-01,947.0
2019-08-01,1649.0
2019-09-01,360.0
2019-10-01,356.0
2019-11-01,209.0
2019-12-01,250.0
2020-01-01,861.0
2020-02-01,3862.0
2020-03-01,4286.0
2020-04-01,305.0
2020-05-01,1859.0
2020-06-01,2653.0
2020-07-01,1654.0
2020-08-01,2306.0
2020-09-01,1500.0
2020-10-01,2387.0
2020-11-01,1170.0
2020-12-01,4577.0
