ds,y
2017-01-01,167.0
2017-02-01,1489.0
2017-03-01,546.0
2017-04-01,1990.0
2017-05-01,2066.0
2017-06-01,1924.0
2017-07-01,3079.0
2017-08-01,16373.0
2017-09-01,1297.0
2017-10-01,5022.0
2017-11-01,2837.0
2017-12-01,7348.0
2018-01-01,2108.0
2018-02-01,1913.0
2018-03-01,3080.0
2018-04-01,857.0
2018-05-01,3186.0
2018-06-01,3380.0
2018-07-01,2470.0
2018-08-01,886.0
2018-09-01,1491.0
2018-10-01,9293.0
2018-11-01,1180.0
2018-12-01,2536.0
2019-01-01,55.0
2019-02-01,746.0
2019-03-01,3362.0
2019-04-01,1157.0
2019-05-01,1206.909547738693
2019-06-01,3252.0
2019-07-01,2260.0
2019-08-01,638.0
2019-09-01,353.0
2019-10-01,874.0
2019-11-01,1339.0
2019-12-01,1635.0
2020-01-01,322.0
2020-02-01,1277.0
2020-03-01,6343.0
2020-04-01,141.0
2020-05-01,2272.0
2020-06-01,3576.0
2020-07-01,1122.0
2020-08-01,1707.0
2020-09-01,2359.0
2020-10-01,675.0
2020-11-01,2068.0
2020-12-01,4433.0
