ds,y
2017-01-01,1950.0
2017-02-01,849.0
2017-03-01,3582.0
2017-04-01,1299.0
2017-05-01,1422.0
2017-06-01,5414.0
2017-07-01,441.0
2017-08-01,1492.0
2017-09-01,1190.0
2017-10-01,3512.0
2017-11-01,2204.0
2017-12-01,1697.0
2018-01-01,390.0
2018-02-01,1662.0
2018-03-01,3816.0
2018-04-01,360.0
2018-05-01,798.0
2018-06-01,3964.0
2018-07-01,2664.0
2018-08-01,1560.0
2018-09-01,1102.0
2018-10-01,1773.0
2018-11-01,2000.0
2018-12-01,2062.0
2019-01-01,514.0
2019-02-01,2002.0
2019-03-01,671.0
2019-04-01,1187.0
2019-05-01,2866.0
2019-06-01,999.0
2019-07-01,2845.0
2019-08-01,985.0
2019-09-01,413.0
2019-10-01,-415.0
2019-11-01,4695.0
2019-12-01,595.0
2020-01-01,2239.0
2020-02-01,2447.0
2020-03-01,6185.0
2020-04-01,3398.0
2020-05-01,4121.0
2020-06-01,26831.0
2020-07-01,293.0
2020-08-01,935.0
2020-09-01,9886.0
2020-10-01,1287.0
2020-11-01,-2474.0
2020-12-01,517.0
