ds,y
2017-01-01,653.0
2017-02-01,2493.0
2017-03-01,466.0
2017-04-01,1020.0
2017-05-01,1149.0
2017-06-01,4440.0
2017-07-01,1562.0
2017-08-01,2478.0
2017-09-01,1274.0
2017-10-01,2707.0
2017-11-01,5375.0
2017-12-01,3838.0
2018-01-01,2743.0
2018-02-01,2312.0
2018-03-01,2975.0
2018-04-01,1541.0
2018-05-01,3215.0
2018-06-01,5656.0
2018-07-01,2132.0
2018-08-01,1336.0
2018-09-01,2601.0
2018-10-01,6122.0
2018-11-01,1998.0
2018-12-01,3299.0
2019-01-01,690.0
2019-02-01,836.0
2019-03-01,3023.0
2019-04-01,306.0
2019-05-01,1330.0
2019-06-01,3443.0
2019-07-01,1639.0
2019-08-01,59622.0
2019-09-01,667.0
2019-10-01,1024.0
2019-11-01,1700.0
2019-12-01,445.0
2020-01-01,852.0
2020-02-01,4661.0
2020-03-01,1921.0
2020-04-01,1131.0
2020-05-01,280.0
2020-06-01,2209.0
2020-07-01,587.0
2020-08-01,1600.0
2020-09-01,3717.0
2020-10-01,493.0
2020-11-01,4759.0
2020-12-01,2534.0
