ds,y
2017-01-01,492.0
2017-02-01,1387.0
2017-03-01,3597.0
2017-04-01,1032.0
2017-05-01,1017.0
2017-06-01,5718.0
2017-07-01,2934.0
2017-08-01,1975.0
2017-09-01,1391.0
2017-10-01,1619.0
2017-11-01,10615.0
2017-12-01,3700.0
2018-01-01,3022.0
2018-02-01,1827.0
2018-03-01,1363.0
2018-04-01,4622.0
2018-05-01,1471.0
2018-06-01,8390.0
2018-07-01,2232.0
2018-08-01,2673.0
2018-09-01,1617.0
2018-10-01,2038.0
2018-11-01,3868.0
2018-12-01,728.0
2019-01-01,882.0
2019-02-01,3487.0
2019-03-01,1093.0
2019-04-01,5400.0
2019-05-01,378.0
2019-06-01,3710.0
2019-07-01,710.0
2019-08-01,4010.0
2019-09-01,2307.0
2019-10-01,1398.0
2019-11-01,6341.0
2019-12-01,741.0
2020-01-01,1225.0
2020-02-01,897.0
2020-03-01,854.0
2020-04-01,4150.0
2020-05-01,312.0
2020-06-01,1336.0
2020-07-01,1222.0
2020-08-01,2655.0
2020-09-01,1722.0
2020-10-01,584.0
2020-11-01,3444.0
2020-12-01,241.0
