ds,y
2017-01-01,873.0
2017-02-01,533.0
2017-03-01,7049.0
2017-04-01,1298.0
2017-05-01,500.0
2017-06-01,1795.0
2017-07-01,378.0
2017-08-01,2258.0
2017-09-01,1230.0
2017-10-01,1422.0
2017-11-01,1163.0
2017-12-01,1238.0
2018-01-01,2082.0
2018-02-01,2103.0
2018-03-01,2151.0
2018-04-01,951.0
2018-05-01,1657.0
2018-06-01,3219.0
2018-07-01,955.0
2018-08-01,681.0
2018-09-01,1218.0
2018-10-01,2585.0
2018-11-01,5045.0
2018-12-01,2456.0
2019-01-01,1053.0
2019-02-01,1234.0
2019-03-01,238.0
2019-04-01,1470.0
2019-05-01,556.0
2019-06-01,1344.0
2019-07-01,2218.0
2019-08-01,1031.0
2019-09-01,1333.0
2019-10-01,1685.0
2019-11-01,3078.0
2019-12-01,279.0
2020-01-01,3581.0
2020-02-01,622.0
2020-03-01,875.0
2020-04-01,489.0
2020-05-01,542.0
2020-06-01,2452.0
2020-07-01,1186.0
2020-08-01,2263.0
2020-09-01,1112.0
2020-10-01,117.0
2020-11-01,1480.0
2020-12-01,2100.0
