ds,y
2017-01-01,636.0
2017-02-01,1552.0
2017-03-01,869.0
2017-04-01,4294.0
2017-05-01,534.0
2017-06-01,4341.0
2017-07-01,862.0
2017-08-01,1726.0
2017-09-01,849.0
2017-10-01,661.0
2017-11-01,1476.0
2017-12-01,627.0
2018-01-01,2488.0
2018-02-01,930.0
2018-03-01,896.0
2018-04-01,2249.0
2018-05-01,2105.0
2018-06-01,1282.0
2018-07-01,2887.0
2018-08-01,1909.0
2018-09-01,1401.0
2018-10-01,5354.0
2018-11-01,6780.0
2018-12-01,1526.0
2019-01-01,252.0
2019-02-01,942.0
2019-03-01,5081.0
2019-04-01,1035.0
2019-05-01,3265.82995951417
2019-06-01,2408.0
2019-07-01,1856.0
2019-08-01,1511.0
2019-09-01,3785.0
2019-10-01,4523.0
2019-11-01,3914.0
2019-12-01,2218.0
2020-01-01,1385.0
2020-02-01,697.0
2020-03-01,2806.0
2020-04-01,1225.0
2020-05-01,2986.0
2020-06-01,742.0
2020-07-01,3490.0
2020-08-01,273.0
2020-09-01,7299.0
2020-10-01,392.0
2020-11-01,-631.0
2020-12-01,2112.0
