ds,y
2017-01-01,896.0
2017-02-01,1071.0
2017-03-01,2704.0
2017-04-01,2175.0
2017-05-01,660.0
2017-06-01,2132.0
2017-07-01,15580.551275878672
2017-08-01,3155.0
2017-09-01,4871.0
2017-10-01,807.0
2017-11-01,1000.0
2017-12-01,5825.0
2018-01-01,1293.0
2018-02-01,478.0
2018-03-01,1288.0
2018-04-01,1031.0
2018-05-01,701.0
2018-06-01,-13.0
2018-07-01,1584.0
2018-08-01,632.0
2018-09-01,3632.0
2018-10-01,4431.0
2018-11-01,1495.0
2018-12-01,514.0
2019-01-01,1337.0
2019-02-01,5625.0
2019-03-01,1848.0
2019-04-01,3500.0
2019-05-01,752.0
2019-06-01,5334.0
2019-07-01,606.0
2019-08-01,1794.0
2019-09-01,362.0
2019-10-01,2252.0
2019-11-01,3371.0
2019-12-01,2310.0
2020-01-01,4299.0
2020-02-01,1297.0
2020-03-01,291.0
2020-04-01,654.0
2020-05-01,838.0
2020-06-01,1925.0
2020-07-01,691.0
2020-08-01,7682.0
2020-09-01,3695.0
2020-10-01,319.0
2020-11-01,1064.0
2020-12-01,3939.0
