ds,y
2017-01-01,830.0
2017-02-01,693.0
2017-03-01,573.0
2017-04-01,1028.0
2017-05-01,2147.0
2017-06-01,2347.0
2017-07-01,2545.0
2017-08-01,928.0
2017-09-01,2180.0
2017-10-01,1288.0
2017-11-01,1113.0
2017-12-01,1359.0
2018-01-01,1304.0
2018-02-01,1906.0
2018-03-01,4463.0
2018-04-01,2081.0
2018-05-01,2453.0
2018-06-01,1858.0
2018-07-01,3771.0
2018-08-01,4705.0
2018-09-01,1685.0
2018-10-01,2503.0
2018-11-01,2980.0
2018-12-01,4430.0
2019-01-01,1466.0
2019-02-01,2566.0
2019-03-01,5961.0
2019-04-01,1210.0
2019-05-01,4153.0
2019-06-01,270.0
2019-07-01,2071.0
2019-08-01,549.0
2019-09-01,967.0
2019-10-01,5584.0
2019-11-01,2668.0
2019-12-01,641.4489795918366
2020-01-01,2013.0
2020-02-01,1640.0
2020-03-01,4955.0
2020-04-01,500.0
2020-05-01,740.0
2020-06-01,1590.0
2020-07-01,1240.0
2020-08-01,812.0
2020-09-01,2897.0
2020-10-01,373.0
2020-11-01,1636.0
2020-12-01,3055.0
