ds,y
2017-01-01,247.0
2017-02-01,9153.0
2017-03-01,1338.0
2017-04-01,2973.0
2017-05-01,3081.0
2017-06-01,824.0
2017-07-01,10058.0
2017-08-01,3214.0
2017-09-01,2758.0
2017-10-01,3436.0
2017-11-01,4629.0
2017-12-01,1849.0
2018-01-01,889.0
2018-02-01,1163.0
2018-03-01,1487.0
2018-04-01,700.0
2018-05-01,2586.0
2018-06-01,2083.0
2018-07-01,7502.0
2018-08-01,492.0
2018-09-01,897.0
2018-10-01,1844.0
2018-11-01,3075.0
2018-12-01,1192.0
2019-01-01,1191.0
2019-02-01,2360.0
2019-03-01,4299.0
2019-04-01,1422.0
2019-05-01,567.0
2019-06-01,1156.0
2019-07-01,983.0
2019-08-01,2290.0
2019-09-01,305.0
2019-10-01,530.0
2019-11-01,3718.0
2019-12-01,2811.0
2020-01-01,1260.0
2020-02-01,7394.0
2020-03-01,5414.0
2020-04-01,303.0
2020-05-01,2072.0
2020-06-01,1051.0
2020-07-01,525.0
2020-08-01,1280.0
2020-09-01,11085.0
2020-10-01,1585.0
2020-11-01,2702.0
2020-12-01,7801.0
