ds,y
2017-01-01,2432.0
2017-02-01,4044.0
2017-03-01,1428.0
2017-04-01,1315.0
2017-05-01,1052.0
2017-06-01,1067.0
2017-07-01,945.0
2017-08-01,1370.0
2017-09-01,1561.0
2017-10-01,1518.0
2017-11-01,614.0
2017-12-01,2305.0
2018-01-01,1768.0
2018-02-01,397.0
2018-03-01,1138.0
2018-04-01,3457.0
2018-05-01,2945.0
2018-06-01,4297.0
2018-07-01,3162.0
2018-08-01,5273.0
2018-09-01,1490.0
2018-10-01,2398.0
2018-11-01,1933.0
2018-12-01,1176.0
2019-01-01,245.0
2019-02-01,1944.0
2019-03-01,252.0
2019-04-01,431.0
2019-05-01,421.0
2019-06-01,1745.0
2019-07-01,13047.0
2019-08-01,343.0
2019-09-01,5062.0
2019-10-01,2374.0
2019-11-01,900.0
2019-12-01,1208.0
2020-01-01,510.0
2020-02-01,510.0
2020-03-01,1041.0
2020-04-01,711.0
2020-05-01,653.0
2020-06-01,771.0
2020-07-01,431.0
2020-08-01,624.0
2020-09-01,1629.0
2020-10-01,969.0
2020-11-01,55824.0
2020-12-01,1791.0
