ds,y
2017-01-01,434.0
2017-02-01,1400.0
2017-03-01,3009.0
2017-04-01,5001.0
2017-05-01,4129.0
2017-06-01,1436.0
2017-07-01,1081.0
2017-08-01,3891.0
2017-09-01,1505.0
2017-10-01,2343.0
2017-11-01,1491.0
2017-12-01,1007.0
2018-01-01,4718.0
2018-02-01,1404.0
2018-03-01,12325.0
2018-04-01,2319.0
2018-05-01,1242.0
2018-06-01,1146.0
2018-07-01,1803.0
2018-08-01,1499.0
2018-09-01,837.0
2018-10-01,4109.0
2018-11-01,1742.0
2018-12-01,940.0
2019-01-01,594.0
2019-02-01,28233.0
2019-03-01,23768.0
2019-04-01,555.0
2019-05-01,2192.0
2019-06-01,649.0
2019-07-01,448.0
2019-08-01,1255.0
2019-09-01,2321.0
2019-10-01,1796.0
2019-11-01,217.0
2019-12-01,1559.0
2020-01-01,382.0
2020-02-01,832.0
2020-03-01,1904.0
2020-04-01,4351.0
2020-05-01,466.0
2020-06-01,3747.0
2020-07-01,631.0
2020-08-01,4158.0
2020-09-01,1553.0
2020-10-01,1228.0
2020-11-01,1596.0
2020-12-01,1031.0
