ds,y
2017-01-01,377.0
2017-02-01,1687.0
2017-03-01,2003.0
2017-04-01,984.0
2017-05-01,1197.0
2017-06-01,2727.0
2017-07-01,495.0
2017-08-01,4172.0
2017-09-01,1274.0
2017-10-01,1259.0
2017-11-01,865.0
2017-12-01,12306.0
2018-01-01,2555.0
2018-02-01,1328.0
2018-03-01,1758.0
2018-04-01,1387.0
2018-05-01,865.0
2018-06-01,2348.0
2018-07-01,929.0
2018-08-01,5088.0
2018-09-01,1512.0
2018-10-01,2897.0
2018-11-01,13827.0
2018-12-01,4023.0
2019-01-01,520.0
2019-02-01,1420.0
2019-03-01,1004.0
2019-04-01,746.0
2019-05-01,1553.0
2019-06-01,1483.0
2019-07-01,1763.0
2019-08-01,555.0
2019-09-01,2549.0
2019-10-01,1147.0
2019-11-01,1677.0
2019-12-01,4079.0
2020-01-01,684.0
2020-02-01,3943.0
2020-03-01,1228.0
2020-04-01,443.0
2020-05-01,1889.0
2020-06-01,2141.0
2020-07-01,529.0
2020-08-01,3994.0
2020-09-01,2176.0
2020-10-01,443.0
2020-11-01,3493.0
2020-12-01,2004.0
