ds,y
2017-01-01,1394.0
2017-02-01,1298.0
2017-03-01,632.0
2017-04-01,4245.0
2017-05-01,1284.0
2017-06-01,2269.0
2017-07-01,9398.0
2017-08-01,2241.0
2017-09-01,2623.0
2017-10-01,869.0
2017-11-01,2032.0
2017-12-01,770.0
2018-01-01,672.0
2018-02-01,2773.0
2018-03-01,1169.0
2018-04-01,1101.0
2018-05-01,2272.0
2018-06-01,1450.0
2018-07-01,5307.0
2018-08-01,6063.0
2018-09-01,2523.0
2018-10-01,2637.0
2018-11-01,1855.0
2018-12-01,1753.0
2019-01-01,757.0
2019-02-01,3241.0
2019-03-01,4926.0
2019-04-01,1513.0
2019-05-01,1010.0
2019-06-01,758.0
2019-07-01,2209.0
2019-08-01,184.0
2019-09-01,739.0
2019-10-01,512.0
2019-11-01,2283.0
2019-12-01,852.0
2020-01-01,732.0
2020-02-01,3187.0
2020-03-01,602.0
2020-04-01,946.0
2020-05-01,2636.0
2020-06-01,1169.0
2020-07-01,254.0
2020-08-01,573.0
2020-09-01,1139.0
2020-10-01,502.0
2020-11-01,1138.0
2020-12-01,3853.0
