ds,y
2017-01-01,1466.0
2017-02-01,1974.0
2017-03-01,165.0
2017-04-01,3118.0
2017-05-01,2130.0
2017-06-01,5761.0
2017-07-01,1449.0
2017-08-01,1498.0
2017-09-01,2356.0
2017-10-01,249.0
2017-11-01,5627.0
2017-12-01,347.0
2018-01-01,1122.0
2018-02-01,2108.0
2018-03-01,991.0
2018-04-01,6200.0
2018-05-01,2287.0
2018-06-01,2400.0
2018-07-01,2376.0
2018-08-01,1231.0
2018-09-01,3584.0
2018-10-01,5324.0
2018-11-01,2082.0
2018-12-01,773.0
2019-01-01,1001.0
2019-02-01,1695.0
2019-03-01,2677.0
2019-04-01,1524.0
2019-05-01,951.0
2019-06-01,452.0
2019-07-01,4671.0
2019-08-01,867.0
2019-09-01,207.0
2019-10-01,2290.0
2019-11-01,2016.0
2019-12-01,3424.1672240802677
2020-01-01,261.0
2020-02-01,200.0
2020-03-01,3950.0
2020-04-01,2199.0
2020-05-01,1912.0
2020-06-01,15270.0
2020-07-01,2633.0
2020-08-01,393.0
2020-09-01,2484.0
2020-10-01,514.0
2020-11-01,2770.0
2020-12-01,1013.0
