ds,y
2017-01-01,462.0
2017-02-01,4558.0
2017-03-01,4839.0
2017-04-01,6478.0
2017-05-01,3809.0
2017-06-01,2192.0
2017-07-01,1925.0
2017-08-01,2894.0
2017-09-01,5269.0
2017-10-01,1479.0
2017-11-01,3696.0
2017-12-01,5387.0
2018-01-01,1466.0
2018-02-01,3320.0
2018-03-01,1249.0
2018-04-01,1890.0
2018-05-01,1376.0
2018-06-01,2602.0
2018-07-01,3907.0
2018-08-01,668.0
2018-09-01,3173.0
2018-10-01,3806.0
2018-11-01,1810.0
2018-12-01,2146.0
2019-01-01,595.0
2019-02-01,2438.0
2019-03-01,2960.0
2019-04-01,1293.0
2019-05-01,705.0
2019-06-01,1010.0
2019-07-01,770.0
2019-08-01,1227.0
2019-09-01,1102.0
2019-10-01,3301.0
2019-11-01,1359.0
2019-12-01,256.0
2020-01-01,1566.0
2020-02-01,1641.0
2020-03-01,3497.0
2020-04-01,1427.0
2020-05-01,463.0
2020-06-01,3467.0
2020-07-01,2973.0
2020-08-01,807.0
2020-09-01,3450.0
2020-10-01,691.0
2020-11-01,1910.0
2020-12-01,824.0
