ds,y
2017-01-01,305.0
2017-02-01,607.0
2017-03-01,975.0
2017-04-01,1039.0
2017-05-01,1444.0
2017-06-01,1456.0
2017-07-01,1259.0
2017-08-01,2738.0
2017-09-01,1177.0
2017-10-01,948.0
2017-11-01,1352.0
2017-12-01,1410.0
2018-01-01,568.0
2018-02-01,2054.0
2018-03-01,2204.0
2018-04-01,446.0
2018-05-01,4167.0
2018-06-01,3818.0
2018-07-01,8198.0
2018-08-01,1196.0
2018-09-01,736.0
2018-10-01,2213.0
2018-11-01,957.0
2018-12-01,4323.0
2019-01-01,678.0
2019-02-01,2087.0
2019-03-01,4030.0
2019-04-01,602.0
2019-05-01,1397.0
2019-06-01,1181.0
2019-07-01,2526.0
2019-08-01,2509.0
2019-09-01,1082.0
2019-10-01,1985.0
2019-11-01,1673.0
2019-12-01,2088.0
2020-01-01,2482.0
2020-02-01,693.0
2020-03-01,1666.0
2020-04-01,1627.0
2020-05-01,2457.0
2020-06-01,4796.0
2020-07-01,556.0
2020-08-01,1769.0
2020-09-01,1141.0
2020-10-01,512.0
2020-11-01,2670.0
2020-12-01,3228.0
