ds,y
2017-01-01,733.0
2017-02-01,1124.0
2017-03-01,1286.0
2017-04-01,507.0
2017-05-01,923.0
2017-06-01,1583.0
2017-07-01,2125.0
2017-08-01,4557.0
2017-09-01,2411.0
2017-10-01,1495.0
2017-11-01,4566.0
2017-12-01,1201.0
2018-01-01,1284.0
2018-02-01,2394.0
2018-03-01,2603.0
2018-04-01,811.0
2018-05-01,1407.0
2018-06-01,6136.0
2018-07-01,589.0
2018-08-01,2336.0
2018-09-01,986.0
2018-10-01,2412.0
2018-11-01,1384.0
2018-12-01,1151.0
2019-01-01,2307.0
2019-02-01,521.0
2019-03-01,1654.0
2019-04-01,534.0
2019-05-01,919.0
2019-06-01,2103.0
2019-07-01,2478.0
2019-08-01,958.0
2019-09-01,1879.0
2019-10-01,2072.0
2019-11-01,396.0
2019-12-01,576.0
2020-01-01,1151.0
2020-02-01,6075.0
2020-03-01,1123.0
2020-04-01,1286.0
2020-05-01,568.0
2020-06-01,931.0
2020-07-01,3905.0
2020-08-01,2405.0
2020-09-01,4263.0
2020-10-01,3521.0
2020-11-01,1386.0
2020-12-01,5427.0
