ds,y
2017-01-01,687.0
2017-02-01,982.0
2017-03-01,65.0
2017-04-01,1284.0
2017-05-01,1247.0
2017-06-01,3757.0
2017-07-01,649.0
2017-08-01,875.0
2017-09-01,2468.0
2017-10-01,1560.0
2017-11-01,21085.0
2017-12-01,2057.0
2018-01-01,5751.0
2018-02-01,2021.0
2018-03-01,873.0
2018-04-01,3258.0
2018-05-01,1967.0
2018-06-01,3512.0
2018-07-01,2433.0
2018-08-01,1192.0
2018-09-01,866.0
2018-10-01,8030.0
2018-11-01,3397.0
2018-12-01,2278.0
2019-01-01,412.0
2019-02-01,844.0
2019-03-01,2031.0
2019-04-01,1261.0
2019-05-01,1125.0
2019-06-01,547.0
2019-07-01,1297.0
2019-08-01,3006.0
2019-09-01,454.0
2019-10-01,1177.0
2019-11-01,1769.0
2019-12-01,1066.0
2020-01-01,80.0
2020-02-01,1399.0
2020-03-01,2042.0
2020-04-01,303.0
2020-05-01,1947.0
2020-06-01,3225.0
2020-07-01,1928.0
2020-08-01,1359.0
2020-09-01,591.0
2020-10-01,623.0
2020-11-01,2536.0
2020-12-01,472.0
