ds,y
2017-01-01,1054.0
2017-02-01,186.0
2017-03-01,1336.0
2017-04-01,1382.0
2017-05-01,1183.0
2017-06-01,1130.0
2017-07-01,4275.0
2017-08-01,2199.0
2017-09-01,6735.0
2017-10-01,1352.0
2017-11-01,1406.0
2017-12-01,1170.0
2018-01-01,455.0
2018-02-01,3146.0
2018-03-01,3587.0
2018-04-01,3115.0
2018-05-01,1727.0
2018-06-01,1470.0
2018-07-01,4439.0
2018-08-01,691.0
2018-09-01,1014.0
2018-10-01,2126.0
2018-11-01,-4238.0
2018-12-01,1269.0
2019-01-01,507.0
2019-02-01,4595.0
2019-03-01,2328.0
2019-04-01,2561.0
2019-05-01,822.0
2019-06-01,2330.0
2019-07-01,410.0
2019-08-01,1343.0
2019-09-01,2051.0
2019-10-01,662.0
2019-11-01,2126.0
2019-12-01,1405.0
2020-01-01,2719.0
2020-02-01,1037.0
2020-03-01,5797.0
2020-04-01,859.0
2020-05-01,2739.0
2020-06-01,370.0
2020-07-01,1911.0
2020-08-01,1949.0
2020-09-01,2983.0
2020-10-01,858.0
2020-11-01,1473.0
2020-12-01,2414.0
