ds,y
2017-01-01,1296.0
2017-02-01,1816.0
2017-03-01,1972.0
2017-04-01,901.0
2017-05-01,1211.0
2017-06-01,898.0
2017-07-01,825.0
2017-08-01,1030.0
2017-09-01,4008.0
2017-10-01,1901.0
2017-11-01,3406.0
2017-12-01,747.0
2018-01-01,740.0
2018-02-01,1226.0
2018-03-01,7705.0
2018-04-01,632.0
2018-05-01,1173.0
2018-06-01,1093.0
2018-07-01,1197.0
2018-08-01,2605.0
2018-09-01,1611.0
2018-10-01,4849.0
2018-11-01,1764.0
2018-12-01,1213.0
2019-01-01,313.0
2019-02-01,4624.0
2019-03-01,1851.0
2019-04-01,661.0
2019-05-01,712.0
2019-06-01,1083.0
2019-07-01,2733.0
2019-08-01,1726.0
2019-09-01,783.0
2019-10-01,481.0
2019-11-01,2667.0
2019-12-01,2185.0
2020-01-01,874.0
2020-02-01,4493.0
2020-03-01,823.0
2020-04-01,753.0
2020-05-01,1476.0
2020-06-01,3863.0
2020-07-01,562.0
2020-08-01,1372.0
2020-09-01,949.0
2020-10-01,217.0
2020-11-01,2026.0
2020-12-01,1507.0
