ds,y
2017-01-01,397.0
2017-02-01,5071.0
2017-03-01,582.0
2017-04-01,1560.0
2017-05-01,1287.0
2017-06-01,2070.0
2017-07-01,1291.0
2017-08-01,1949.0
2017-09-01,903.0
2017-10-01,2156.0
2017-11-01,1399.0
2017-12-01,1691.0
2018-01-01,3866.0
2018-02-01,2793.0
2018-03-01,629.0
2018-04-01,1229.0
2018-05-01,1177.0
2018-06-01,1696.0
2018-07-01,1483.0
2018-08-01,1803.0
2018-09-01,1547.0
2018-10-01,1839.0
2018-11-01,1393.0
2018-12-01,528.0
2019-01-01,364.0
2019-02-01,4351.0
2019-03-01,6027.0
2019-04-01,2408.0
2019-05-01,916.0
2019-06-01,4050.0
2019-07-01,1450.0
2019-08-01,594.0
2019-09-01,1122.0
2019-10-01,1074.0
2019-11-01,1713.0
2019-12-01,611.0
2020-01-01,2232.0
2020-02-01,665.0
2020-03-01,3478.0
2020-04-01,839.0
2020-05-01,606.0
2020-06-01,2436.0
2020-07-01,4647.0
2020-08-01,844.0
2020-09-01,716.0
2020-10-01,1378.0
2020-11-01,4232.0
2020-12-01,993.0
