ds,y
2017-01-01,1322.0
2017-02-01,1914.0
2017-03-01,1660.0
2017-04-01,1035.0
2017-05-01,836.0
2017-06-01,885.0
2017-07-01,3052.0
2017-08-01,1912.0
2017-09-01,2508.0
2017-10-01,1344.0
2017-11-01,926.0
2017-12-01,2065.0
2018-01-01,1414.0
2018-02-01,402.0
2018-03-01,4986.0
2018-04-01,2639.0
2018-05-01,820.0
2018-06-01,2912.0
2018-07-01,2208.0
2018-08-01,1084.0
2018-09-01,273.0
2018-10-01,2449.0
2018-11-01,3436.0
2018-12-01,2065.0
2019-01-01,456.0
2019-02-01,1091.0
2019-03-01,10162.0
2019-04-01,1860.0
2019-05-01,930.0
2019-06-01,1366.0
2019-07-01,2051.0
2019-08-01,2247.0
2019-09-01,693.0
2019-10-01,1074.0
2019-11-01,2458.0
2019-12-01,5296.0
2020-01-01,3775.0
2020-02-01,1626.0
2020-03-01,2063.0
2020-04-01,612.0
2020-05-01,6850.0
2020-06-01,6299.0
2020-07-01,246.0
2020-08-01,2017.0
2020-09-01,1187.0
2020-10-01,1169.0
2020-11-01,754.0
2020-12-01,1309.0
