ds,y
2017-01-01,1461.0
2017-02-01,1684.0
2017-03-01,5410.0
2017-04-01,1219.0
2017-05-01,1212.0
2017-06-01,1908.0
2017-07-01,1190.0
2017-08-01,1562.0
2017-09-01,1200.0
2017-10-01,1367.0
2017-11-01,6979.0
2017-12-01,1561.0
2018-01-01,2756.0
2018-02-01,1711.0
2018-03-01,5401.0
2018-04-01,1891.0
2018-05-01,1807.0
2018-06-01,1129.0
2018-07-01,1318.0
2018-08-01,3389.0
2018-09-01,7368.0
2018-10-01,2751.0
2018-11-01,6615.0
2018-12-01,1097.0
2019-01-01,682.0
2019-02-01,1449.0
2019-03-01,1482.0
2019-04-01,818.0
2019-05-01,162.0
2019-06-01,875.0
2019-07-01,1503.0
2019-08-01,673.0
2019-09-01,1099.0
2019-10-01,432.0
2019-11-01,4485.0
2019-12-01,6439.0
2020-01-01,786.0
2020-02-01,2991.0
2020-03-01,5423.0
2020-04-01,2622.0
2020-05-01,489.0
2020-06-01,3890.0
2020-07-01,2414.0
2020-08-01,1209.0
2020-09-01,1314.0
2020-10-01,712.0
2020-11-01,1383.0
2020-12-01,987.0
