ds,y
2017-01-01,2673.0
2017-02-01,865.0
2017-03-01,1596.0
2017-04-01,933.0
2017-05-01,1123.0
2017-06-01,6002.0
2017-07-01,2050.0
2017-08-01,2719.0
2017-09-01,1533.0
2017-10-01,1884.0
2017-11-01,2660.0
2017-12-01,739.0
2018-01-01,1189.0
2018-02-01,1744.0
2018-03-01,18563.0
2018-04-01,3222.0
2018-05-01,1673.0
2018-06-01,1612.0
2018-07-01,2350.0
2018-08-01,-575.0
2018-09-01,3235.0
2018-10-01,8563.0
2018-11-01,3492.0
2018-12-01,509.0
2019-01-01,811.0
2019-02-01,1580.0
2019-03-01,1426.0
2019-04-01,1569.0
2019-05-01,2505.0
2019-06-01,741.5
2019-07-01,923.0
2019-08-01,2980.0
2019-09-01,1286.0
2019-10-01,4063.0
2019-11-01,1874.0
2019-12-01,732.0
2020-01-01,1710.0
2020-02-01,3188.0
2020-03-01,1226.0
2020-04-01,542.0
2020-05-01,2390.0
2020-06-01,241.0
2020-07-01,179.0
2020-08-01,499.0
2020-09-01,1784.0
2020-10-01,1494.0
2020-11-01,6400.0
2020-12-01,2148.0
