ds,y
2017-01-01,1750.0
2017-02-01,5042.0
2017-03-01,1307.0
2017-04-01,600.0
2017-05-01,1018.0
2017-06-01,1970.0
2017-07-01,1584.0
2017-08-01,3567.0
2017-09-01,531.0
2017-10-01,2532.0
2017-11-01,2878.0
2017-12-01,4518.0
2018-01-01,1980.0
2018-02-01,1668.0
2018-03-01,1510.0
2018-04-01,995.0
2018-05-01,3409.0
2018-06-01,596.0
2018-07-01,928.0
2018-08-01,1691.0
2018-09-01,1077.0
2018-10-01,2638.0
2018-11-01,1295.0
2018-12-01,2289.0
2019-01-01,3743.0
2019-02-01,3987.0
2019-03-01,8274.0
2019-04-01,747.0
2019-05-01,804.0
2019-06-01,963.0
2019-07-01,707.0
2019-08-01,1719.0
2019-09-01,2736.0
2019-10-01,3920.0
2019-11-01,2752.0
2019-12-01,2461.0
2020-01-01,178.0
2020-02-01,1727.0
2020-03-01,1010.0
2020-04-01,2811.0
2020-05-01,2077.0
2020-06-01,1788.0
2020-07-01,1076.0
2020-08-01,710.0
2020-09-01,4598.0
2020-10-01,548.0
2020-11-01,3060.0
2020-12-01,5015.0
