ds,y
2017-01-01,646.0
2017-02-01,6954.0
2017-03-01,2643.0
2017-04-01,1422.0
2017-05-01,1845.0
2017-06-01,2213.0
2017-07-01,668.0
2017-08-01,2996.0
2017-09-01,1056.0
2017-10-01,3065.0
2017-11-01,4369.0
2017-12-01,1971.0
2018-01-01,3093.0
2018-02-01,6554.0
2018-03-01,2771.0
2018-04-01,849.0
2018-05-01,2174.0
2018-06-01,2604.0
2018-07-01,3090.0
2018-08-01,789.0
2018-09-01,2084.0
2018-10-01,3495.0
2018-11-01,2019.0
2018-12-01,602.0
2019-01-01,935.0
2019-02-01,2616.0
2019-03-01,2708.0
2019-04-01,639.0
2019-05-01,470.0
2019-06-01,4426.0
2019-07-01,943.0
2019-08-01,4710.0
2019-09-01,3430.0
2019-10-01,622.0
2019-11-01,1655.0
2019-12-01,4422.0
2020-01-01,3584.0
2020-02-01,2678.0
2020-03-01,3125.0
2020-04-01,761.0
2020-05-01,2288.0
2020-06-01,14249.0
2020-07-01,1972.0
2020-08-01,3279.0
2020-09-01,7162.0
2020-10-01,698.0
2020-11-01,799.0
2020-12-01,4182.0
