ds,y
2017-01-01,780.0
2017-02-01,1800.0
2017-03-01,1112.0
2017-04-01,1532.0
2017-05-01,621.0
2017-06-01,3233.0
2017-07-01,1704.0
2017-08-01,7248.0
2017-09-01,1695.0
2017-10-01,1334.0
2017-11-01,997.0
2017-12-01,779.0
2018-01-01,1209.0
2018-02-01,4685.0
2018-03-01,905.0
2018-04-01,2245.0
2018-05-01,3697.0
2018-06-01,4202.0
2018-07-01,2235.0
2018-08-01,6684.0
2018-09-01,7458.0
2018-10-01,872.0
2018-11-01,4292.0
2018-12-01,3514.0
2019-01-01,367.0
2019-02-01,2630.0
2019-03-01,6386.0
2019-04-01,2757.0
2019-05-01,1865.0
2019-06-01,2223.0
2019-07-01,8641.0
2019-08-01,575.0
2019-09-01,612.0
2019-10-01,367.0
2019-11-01,3732.0
2019-12-01,1473.0
2020-01-01,4175.0
2020-02-01,874.0
2020-03-01,3983.0
2020-04-01,1973.0
2020-05-01,2272.0
2020-06-01,1994.0
2020-07-01,1162.0
2020-08-01,1425.0
2020-09-01,1766.0
2020-10-01,1695.0
2020-11-01,2389.0
2020-12-01,1730.0
