ds,y
2017-01-01,528.0
2017-02-01,1142.0
2017-03-01,4211.0
2017-04-01,1426.0
2017-05-01,1037.0
2017-06-01,7812.0
2017-07-01,3346.0
2017-08-01,2293.0
2017-09-01,3241.0
2017-10-01,1077.0
2017-11-01,4171.0
2017-12-01,618.0
2018-01-01,2255.0
2018-02-01,2665.0
2018-03-01,1346.0
2018-04-01,3358.0
2018-05-01,1392.0
2018-06-01,3825.0
2018-07-01,4019.0
2018-08-01,1216.0
2018-09-01,3983.0
2018-10-01,2719.0
2018-11-01,1380.0
2018-12-01,5871.0
2019-01-01,186.0
2019-02-01,1174.0
2019-03-01,5022.0
2019-04-01,1269.0
2019-05-01,1010.0
2019-06-01,3579.0
2019-07-01,2670.0
2019-08-01,92159.0
2019-09-01,1300.0
2019-10-01,1154.0
2019-11-01,513.0
2019-12-01,737.0
2020-01-01,796.0
2020-02-01,1974.0
2020-03-01,997.0
2020-04-01,3246.0
2020-05-01,313.0
2020-06-01,1103.0
2020-07-01,1824.0
2020-08-01,2416.0
2020-09-01,1331.0
2020-10-01,803.0
2020-11-01,1335.0
2020-12-01,1551.0
