ds,y
2017-01-01,600.0
2017-02-01,2296.0
2017-03-01,2448.0
2017-04-01,981.0
2017-05-01,2409.0
2017-06-01,3054.0
2017-07-01,1381.0
2017-08-01,1984.0
2017-09-01,969.0
2017-10-01,613.0
2017-11-01,973.0
2017-12-01,1016.0
2018-01-01,7170.0
2018-02-01,5019.0
2018-03-01,2453.0
2018-04-01,9332.0
2018-05-01,2629.0
2018-06-01,2025.0
2018-07-01,1850.0
2018-08-01,4145.0
2018-09-01,807.0
2018-10-01,1505.0
2018-11-01,1053.0
2018-12-01,1561.0
2019-01-01,424.0
2019-02-01,1978.0
2019-03-01,2253.0
2019-04-01,1442.0
2019-05-01,1115.0
2019-06-01,1841.0
2019-07-01,2268.0
2019-08-01,537.0
2019-09-01,980.0
2019-10-01,959.0
2019-11-01,1642.0
2019-12-01,5542.25
2020-01-01,1495.0
2020-02-01,779.0
2020-03-01,1711.0
2020-04-01,836.0
2020-05-01,1588.0
2020-06-01,930.0
2020-07-01,4751.0
2020-08-01,19501.0
2020-09-01,1869.0
2020-10-01,1181.0
2020-11-01,1184.0
2020-12-01,1552.0
