ds,y
2017-01-01,1220.0
2017-02-01,1702.0
2017-03-01,1057.0
2017-04-01,1202.0
2017-05-01,1674.0
2017-06-01,3986.0
2017-07-01,702.0
2017-08-01,2139.0
2017-09-01,1446.0
2017-10-01,1627.0
2017-11-01,1265.0
2017-12-01,2866.0
2018-01-01,1794.0
2018-02-01,978.0
2018-03-01,3625.0
2018-04-01,2681.0
2018-05-01,1958.0
2018-06-01,4556.0
2018-07-01,717.0
2018-08-01,899.0
2018-09-01,1449.0
2018-10-01,2562.0
2018-11-01,2993.0
2018-12-01,894.0
2019-01-01,1998.0
2019-02-01,862.0
2019-03-01,2185.0
2019-04-01,2050.0
2019-05-01,866.0
2019-06-01,510.0
2019-07-01,593.0
2019-08-01,4158.0
2019-09-01,2055.0
2019-10-01,2377.0
2019-11-01,2986.0
2019-12-01,88.0
2020-01-01,2365.0
2020-02-01,476.0
2020-03-01,1467.0
2020-04-01,2615.0
2020-05-01,1076.0
2020-06-01,4631.0
2020-07-01,1452.0
2020-08-01,949.0
2020-09-01,3857.0
2020-10-01,514.0
2020-11-01,2295.0
2020-12-01,1296.0
