ds,y
2017-01-01,3304.0
2017-02-01,640.0
2017-03-01,1511.0
2017-04-01,206.0
2017-05-01,512.0
2017-06-01,3061.0
2017-07-01,1596.0
2017-08-01,3741.0
2017-09-01,1591.0
2017-10-01,1784.0
2017-11-01,1815.0
2017-12-01,180.0
2018-01-01,692.0
2018-02-01,480.0
2018-03-01,3416.0
2018-04-01,1706.0
2018-05-01,23478.0
2018-06-01,4850.0
2018-07-01,3390.0
2018-08-01,3925.0
2018-09-01,806.0
2018-10-01,3840.0
2018-11-01,1960.0
2018-12-01,1785.0
2019-01-01,2272.0
2019-02-01,1784.0
2019-03-01,2083.0
2019-04-01,2982.0
2019-05-01,218.0
2019-06-01,1173.0
2019-07-01,4049.0
2019-08-01,1115.0
2019-09-01,1584.0
2019-10-01,5042.0
2019-11-01,1249.0
2019-12-01,409.0
2020-01-01,2101.0
2020-02-01,1657.0
2020-03-01,2939.0
2020-04-01,1664.0
2020-05-01,643.0
2020-06-01,419.0
2020-07-01,5629.0
2020-08-01,1481.0
2020-09-01,2059.0
2020-10-01,649.0
2020-11-01,2343.0
2020-12-01,2053.0
