ds,y
2017-01-01,381.0
2017-02-01,1367.0
2017-03-01,2818.0
2017-04-01,1893.0
2017-05-01,695.0
2017-06-01,4764.0
2017-07-01,1295.0
2017-08-01,1330.0
2017-09-01,368.0
2017-10-01,1449.0
2017-11-01,3753.0
2017-12-01,1136.0
2018-01-01,1188.0
2018-02-01,2814.0
2018-03-01,4796.0
2018-04-01,962.0
2018-05-01,643.0
2018-06-01,2623.0
2018-07-01,2047.0
2018-08-01,1488.0
2018-09-01,8014.0
2018-10-01,2140.0
2018-11-01,3208.0
2018-12-01,1599.0
2019-01-01,330.0
2019-02-01,22886.0
2019-03-01,1029.0
2019-04-01,4026.0
2019-05-01,496.698492462312
2019-06-01,588.0
2019-07-01,10015.0
2019-08-01,1357.0
2019-09-01,1061.0
2019-10-01,399.0
2019-11-01,1120.0
2019-12-01,713.0
2020-01-01,4577.0
2020-02-01,10056.0
2020-03-01,4770.0
2020-04-01,533.0
2020-05-01,502.0
2020-06-01,1990.0
2020-07-01,2171.0
2020-08-01,420.0
2020-09-01,1480.0
2020-10-01,2680.0
2020-11-01,2820.0
2020-12-01,1287.0
