ds,y
2017-01-01,1234.0
2017-02-01,1445.0
2017-03-01,2663.0
2017-04-01,2308.0
2017-05-01,1682.0
2017-06-01,19852.0
2017-07-01,3019.0
2017-08-01,4490.0
2017-09-01,891.0
2017-10-01,2762.0
2017-11-01,1012.0
2017-12-01,2773.0
2018-01-01,2552.0
2018-02-01,5149.0
2018-03-01,4820.0
2018-04-01,2651.0
2018-05-01,1427.0
2018-06-01,5325.0
2018-07-01,5078.0
2018-08-01,892.0
2018-09-01,1670.0
2018-10-01,1600.0
2018-11-01,1167.0
2018-12-01,779.0
2019-01-01,3645.0
2019-02-01,1220.0
2019-03-01,1037.0
2019-04-01,755.0
2019-05-01,629.0
2019-06-01,272.0
2019-07-01,985.0
2019-08-01,4062.0
2019-09-01,2525.0
2019-10-01,3588.0
2019-11-01,2355.0
2019-12-01,413.0
2020-01-01,5898.0
2020-02-01,931.0
2020-03-01,764.0
2020-04-01,103.0
2020-05-01,1173.0
2020-06-01,3196.0
2020-07-01,1519.0
2020-08-01,1166.0
2020-09-01,1345.0
2020-10-01,235.0
2020-11-01,30196.0
2020-12-01,2791.0
