ds,y
2017-01-01,766.0
2017-02-01,1725.0
2017-03-01,4208.0
2017-04-01,2265.0
2017-05-01,699.0
2017-06-01,4664.0
2017-07-01,604.0
2017-08-01,507.0
2017-09-01,1660.0
2017-10-01,2042.0
2017-11-01,1447.0
2017-12-01,4120.0
2018-01-01,1559.0
2018-02-01,3157.0
2018-03-01,4120.0
2018-04-01,1810.0
2018-05-01,1953.0
2018-06-01,3589.0
2018-07-01,2185.0
2018-08-01,5818.0
2018-09-01,3360.0
2018-10-01,4038.0
2018-11-01,1666.0
2018-12-01,1138.0
2019-01-01,473.0
2019-02-01,195.0
2019-03-01,7517.0
2019-04-01,4141.0
2019-05-01,8762.0
2019-06-01,3389.0
2019-07-01,2083.0
2019-08-01,51472.0
2019-09-01,6211.0
2019-10-01,6173.0
2019-11-01,4271.0
2019-12-01,466.0
2020-01-01,159.0
2020-02-01,2911.0
2020-03-01,1417.0
2020-04-01,448.0
2020-05-01,1656.0
2020-06-01,660.0
2020-07-01,959.0
2020-08-01,1628.0
2020-09-01,3073.0
2020-10-01,5350.0
2020-11-01,3837.0
2020-12-01,1101.0
