ds,y
2017-01-01,1117.0
2017-02-01,1688.0
2017-03-01,3583.0
2017-04-01,1925.0
2017-05-01,1401.0
2017-06-01,1324.0
2017-07-01,2156.0
2017-08-01,671.0
2017-09-01,2044.0
2017-10-01,1377.0
2017-11-01,1609.0
2017-12-01,1123.0
2018-01-01,523.0
2018-02-01,1239.0
2018-03-01,2431.0
2018-04-01,2155.0
2018-05-01,1307.0
2018-06-01,2450.0
2018-07-01,2161.0
2018-08-01,1947.0
2018-09-01,1177.0
2018-10-01,3544.0
2018-11-01,4642.0
2018-12-01,904.0
2019-01-01,940.0
2019-02-01,33022.0
2019-03-01,4121.0
2019-04-01,5042.0
2019-05-01,2633.0
2019-06-01,706.0
2019-07-01,1352.0
2019-08-01,1194.0
2019-09-01,1571.0
2019-10-01,3567.0
2019-11-01,919.0
2019-12-01,2587.0
2020-01-01,1547.0
2020-02-01,1422.0
2020-03-01,3502.0
2020-04-01,1243.0
2020-05-01,2939.0
2020-06-01,1204.0
2020-07-01,1495.0
2020-08-01,737.0
2020-09-01,4139.0
2020-10-01,501.0
2020-11-01,1679.0
2020-12-01,3030.0
