ds,y
2017-01-01,1746.0
2017-02-01,3077.0
2017-03-01,1379.0
2017-04-01,1074.0
2017-05-01,15274.0
2017-06-01,633.0
2017-07-01,1497.0
2017-08-01,1255.0
2017-09-01,12626.0
2017-10-01,776.0
2017-11-01,872.0
2017-12-01,1149.0
2018-01-01,2050.0
2018-02-01,2008.0
2018-03-01,5972.0
2018-04-01,573.0
2018-05-01,1870.0
2018-06-01,2004.0
2018-07-01,2598.0
2018-08-01,1898.0
2018-09-01,3593.0
2018-10-01,2296.0
2018-11-01,665.0
2018-12-01,1296.0
2019-01-01,749.0
2019-02-01,978.0
2019-03-01,1586.0
2019-04-01,3371.0
2019-05-01,2440.0
2019-06-01,825.0
2019-07-01,1588.0
2019-08-01,12633.0
2019-09-01,2737.0
2019-10-01,1416.0
2019-11-01,1173.0
2019-12-01,1914.0
2020-01-01,2275.0
2020-02-01,3127.0
2020-03-01,3747.0
2020-04-01,1076.0
2020-05-01,385.0
2020-06-01,2173.0
2020-07-01,5814.0
2020-08-01,3843.0
2020-09-01,4034.0
2020-10-01,456.0
2020-11-01,1446.0
2020-12-01,1848.0
