ds,y
2017-01-01,649.0
2017-02-01,3648.0
2017-03-01,2190.0
2017-04-01,1633.0
2017-05-01,1062.0
2017-06-01,8866.0
2017-07-01,2440.0
2017-08-01,12241.0
2017-09-01,4910.0
2017-10-01,17056.0
2017-11-01,1624.0
2017-12-01,1215.0
2018-01-01,1200.0
2018-02-01,1065.0
2018-03-01,3830.0
2018-04-01,1294.0
2018-05-01,1739.0
2018-06-01,4363.0
2018-07-01,4123.0
2018-08-01,2504.0
2018-09-01,2355.0
2018-10-01,2881.0
2018-11-01,2943.0
2018-12-01,2429.0
2019-01-01,331.0
2019-02-01,3791.0
2019-03-01,5847.0
2019-04-01,4595.0
2019-05-01,897.0
2019-06-01,4649.0
2019-07-01,1041.0
2019-08-01,1993.0
2019-09-01,221.0
2019-10-01,334.0
2019-11-01,11326.0
2019-12-01,1283.0
2020-01-01,258.0
2020-02-01,2384.0
2020-03-01,1605.0
2020-04-01,692.0
2020-05-01,1353.0
2020-06-01,3402.0
2020-07-01,5304.0
2020-08-01,4419.0
2020-09-01,2678.0
2020-10-01,360.0
2020-11-01,995.0
2020-12-01,2291.0
