ds,y
2017-01-01,1305.0
2017-02-01,5276.0
2017-03-01,6798.0
2017-04-01,891.0
2017-05-01,2599.0
2017-06-01,3157.0
2017-07-01,2298.0
2017-08-01,2976.0
2017-09-01,1220.0
2017-10-01,2556.0
2017-11-01,1115.0
2017-12-01,1668.0
2018-01-01,760.0
2018-02-01,3953.0
2018-03-01,1378.0
2018-04-01,3359.0
2018-05-01,1488.0
2018-06-01,4968.0
2018-07-01,1366.0
2018-08-01,969.0
2018-09-01,3459.0
2018-10-01,2881.0
2018-11-01,4177.0
2018-12-01,25863.0
2019-01-01,1355.0
2019-02-01,2136.0
2019-03-01,3307.0
2019-04-01,3984.0
2019-05-01,845.0
2019-06-01,1475.0
2019-07-01,3028.0
2019-08-01,2081.0
2019-09-01,1021.0
2019-10-01,239.0
2019-11-01,1096.0
2019-12-01,1044.0
2020-01-01,424.0
2020-02-01,5298.0
2020-03-01,780.0
2020-04-01,633.0
2020-05-01,1273.0
2020-06-01,1550.0
2020-07-01,843.0
2020-08-01,1662.0
2020-09-01,2773.0
2020-10-01,618.0
2020-11-01,1951.0
2020-12-01,12080.0
