ds,y
2017-01-01,1368.0
2017-02-01,794.0
2017-03-01,1485.0
2017-04-01,1548.0
2017-05-01,4715.0
2017-06-01,2085.0
2017-07-01,2811.0
2017-08-01,1711.0
2017-09-01,1522.0
2017-10-01,1975.0
2017-11-01,2225.0
2017-12-01,3640.0
2018-01-01,1418.0
2018-02-01,4764.0
2018-03-01,2888.0
2018-04-01,1194.0
2018-05-01,1348.0
2018-06-01,7512.0
2018-07-01,5089.0
2018-08-01,5001.0
2018-09-01,1540.0
2018-10-01,3115.0
2018-11-01,2707.0
2018-12-01,35353.0
2019-01-01,932.0
2019-02-01,924.0
2019-03-01,1193.0
2019-04-01,1504.0
2019-05-01,261.0
2019-06-01,610.0
2019-07-01,672.0
2019-08-01,946.0
2019-09-01,949.0
2019-10-01,797.0
2019-11-01,7845.0
2019-12-01,1614.0
2020-01-01,446.0
2020-02-01,2062.0
2020-03-01,941.0
2020-04-01,42.0
2020-05-01,492.0
2020-06-01,2181.0
2020-07-01,2613.0
2020-08-01,2748.0
2020-09-01,1216.0
2020-10-01,1031.0
2020-11-01,1911.0
2020-12-01,3048.0
