ds,y
2017-01-01,231.0
2017-02-01,1401.0
2017-03-01,1021.0
2017-04-01,3083.0
2017-05-01,1175.0
2017-06-01,1141.0
2017-07-01,712.0
2017-08-01,1435.0
2017-09-01,1700.0
2017-10-01,1954.0
2017-11-01,1065.0
2017-12-01,834.0
2018-01-01,2788.0
2018-02-01,5226.0
2018-03-01,3635.0
2018-04-01,1011.0
2018-05-01,863.0
2018-06-01,3564.0
2018-07-01,2637.0
2018-08-01,493.0
2018-09-01,1906.0
2018-10-01,4008.0
2018-11-01,424.0
2018-12-01,1180.0
2019-01-01,242.0
2019-02-01,503.0
2019-03-01,3607.0
2019-04-01,733.0
2019-05-01,13752.0
2019-06-01,5160.0
2019-07-01,1011.0
2019-08-01,1441.0
2019-09-01,1922.0
2019-10-01,1646.0
2019-11-01,754.0
2019-12-01,498.0
2020-01-01,255.0
2020-02-01,855.0
2020-03-01,815.0
2020-04-01,1229.0
2020-05-01,1417.0
2020-06-01,2507.0
2020-07-01,1897.0
2020-08-01,1115.0
2020-09-01,868.0
2020-10-01,2654.0
2020-11-01,2321.0
2020-12-01,4287.0
