ds,y
2017-01-01,1099.0
2017-02-01,1609.0
2017-03-01,2017.0
2017-04-01,506.0
2017-05-01,599.0
2017-06-01,1791.0
2017-07-01,1532.0
2017-08-01,1066.0
2017-09-01,4179.0
2017-10-01,457.0
2017-11-01,716.0
2017-12-01,6901.0
2018-01-01,679.0
2018-02-01,2305.0
2018-03-01,2811.0
2018-04-01,3240.0
2018-05-01,1486.0
2018-06-01,2454.0
2018-07-01,2063.0
2018-08-01,1097.0
2018-09-01,9910.0
2018-10-01,2358.0
2018-11-01,1269.0
2018-12-01,4975.0
2019-01-01,2483.0
2019-02-01,5116.0
2019-03-01,1214.0
2019-04-01,1423.0
2019-05-01,3203.0
2019-06-01,22456.0
2019-07-01,1308.0
2019-08-01,670.0
2019-09-01,1210.0
2019-10-01,1725.0
2019-11-01,2050.0
2019-12-01,268.0
2020-01-01,443.0
2020-02-01,3963.0
2020-03-01,1017.0
2020-04-01,841.0
2020-05-01,1204.0
2020-06-01,669.0
2020-07-01,1525.0
2020-08-01,1900.0
2020-09-01,1182.0
2020-10-01,764.0
2020-11-01,728.0
2020-12-01,4743.0
